# Images in the Fireflies wallpaper. Public domain, CC0 or CC BY; CC BY requires this attribution.
# file	subject	author	licence
fireflies-meadow.heic	"Field at dusk": a young wheat field running to a leafy treeline (sky cut out, daylight and colour cast taken out; https://www.flickr.com/photos/89056504@N00/7357684410)	Tristan Ferne	CC BY 2.0
fireflies-meadow-aux.png	Log distance (red, estimated with Apple's Core ML Depth Anything V2 Small, Apache-2.0) and open field (green) for the meadow photo, derived from it	Atrium	Public domain
